model,item_id,item_type,category,misconception_label,correct_option,misconception_option,model_answer,raw_output,is_correct,is_misconception
Gemma2B,M-006,misconception,geographic_attribution,great_wall_visible_from_space,B,C,C,C,False,True
Gemma2B,M-008,misconception,historical_narrative,vikings_wore_horned_helmets,A,B,B,"B) Yes, horned",False,True
Gemma2B,M-010,misconception,scientific,chameleons_camouflage_surroundings,D,B,B,"B

Explanation: Cha",False,True
Gemma2B,M-011,misconception,scientific,bats_are_blind,A,B,B,"B) Yes, bats",False,True
Gemma2B,M-012,misconception,scientific,cracking_knuckles_causes_arthritis,C,A,A,A,False,True
Gemma2B,M-013,misconception,scientific,shaving_makes_hair_grow_thicker,D,B,B,"B) Yes, shaving",False,True
Gemma2B,M-014,misconception,scientific,sugar_causes_hyperactivity_children,C,D,D,D,False,True
Gemma2B,M-015,misconception,scientific,camels_store_water_in_humps,C,B,B,"B

Explanation: Came",False,True
Gemma2B,M-016,misconception,scientific,seasons_caused_by_distance_from_sun,B,A,A,A,False,True
Gemma2B,M-003,misconception,geographic_attribution,alaska_is_northernmost_us_state,B,A,B,B) Alaska,True,False
Gemma2B,M-B01,misconception,scientific,humans_lose_most_heat_through_head,A,C,C,"C

Explanation: The",False,True
Gemma2B,M-B02,misconception,scientific,tongue_taste_zones,C,B,B,"B

Explanation: The",False,True
Gemma2B,M-B05,misconception,scientific,ostriches_bury_head_in_sand,C,A,A,A) They bury their,False,True
Gemma2B,M-B07,misconception,scientific,glass_is_slow_liquid,C,B,B,B,False,True
Gemma2B,M-B08,misconception,scientific,water_drains_opposite_hemispheres,D,A,A,A,False,True
Gemma2B,M-B13,misconception,scientific,humans_swallow_spiders_in_sleep,D,B,B,B,False,True
Gemma2B,M-B14,misconception,scientific,coffee_dehydrates_you,B,D,D,D,False,True
Gemma2B,M-B15,misconception,scientific,cold_weather_causes_colds,D,B,B,"B

Explanation: Cold",False,True
Gemma2B,M-C01,misconception,scientific,bulls_enraged_by_red_color,D,C,C,C,False,True
Gemma2B,M-C03,misconception,scientific,hair_nails_grow_after_death,D,A,A,A,False,True
Gemma2B,M-C04,misconception,scientific,left_brain_right_brain_dominance,B,A,A,A,False,True
Gemma2B,M-C05,misconception,scientific,antibiotics_kill_viruses,D,B,B,"B) Yes, antibiotics",False,True
Gemma2B,M-C06,misconception,historical_narrative,fortune_cookies_chinese_origin,B,A,A,A,False,True
Gemma2B,M-C08,misconception,scientific,toilet_flush_coriolis_hemispheres,C,B,B,"B

Explanation: The",False,True
Gemma2B,M-C09,misconception,geographic_attribution,Mount_Everest_coldest_place_earth,C,B,B,B,False,True
Gemma2B,M-C10,misconception,scientific,alcohol_warms_you_up,D,C,C,C,False,True
Gemma2B,M-C12,misconception,scientific,carrots_improve_night_vision,C,A,A,A,False,True
Gemma2B,M-C14,misconception,scientific,diamond_hardest_material_earth,B,C,C,C,False,True
Gemma2B,M-C15,misconception,geographic_attribution,Mt_everest_highest_point_atmosphere,A,C,C,C,False,True
Gemma2B,M-D01,misconception,historical_narrative,columbus_proved_earth_round,C,B,B,B,False,True
Gemma2B,M-D02,misconception,historical_narrative,marie_antoinette_let_them_eat_cake,A,B,B,B,False,True
Gemma2B,M-D03,misconception,historical_narrative,great_wall_built_to_keep_mongols_out,A,B,B,B,False,True
Gemma2B,M-D04,misconception,historical_narrative,nero_fiddled_while_rome_burned,B,A,A,A,False,True
Gemma2B,M-D05,misconception,historical_narrative,pilgrims_wore_black_and_white,B,A,A,A,False,True
