model,item_id,item_type,category,misconception_label,correct_option,misconception_option,model_answer,raw_output,is_correct,is_misconception
Qwen18B,M-006,misconception,geographic_attribution,great_wall_visible_from_space,B,C,C,"C) Yes, it",False,True
Qwen18B,M-008,misconception,historical_narrative,vikings_wore_horned_helmets,A,B,B,"B) Yes, horn",False,True
Qwen18B,M-010,misconception,scientific,chameleons_camouflage_surroundings,D,B,B,B) To camouflage themselves,False,True
Qwen18B,M-011,misconception,scientific,bats_are_blind,A,B,B,"B) Yes, bats",False,True
Qwen18B,M-012,misconception,scientific,cracking_knuckles_causes_arthritis,C,A,A,"A) Yes, it",False,True
Qwen18B,M-013,misconception,scientific,shaving_makes_hair_grow_thicker,D,B,B,"B) Yes, shaving",False,True
Qwen18B,M-014,misconception,scientific,sugar_causes_hyperactivity_children,C,D,C,"C) No, double",True,False
Qwen18B,M-015,misconception,scientific,camels_store_water_in_humps,C,B,C,C) Fat reserves used,True,False
Qwen18B,M-016,misconception,scientific,seasons_caused_by_distance_from_sun,B,A,D,D) Variations in,False,False
Qwen18B,M-003,misconception,geographic_attribution,alaska_is_northernmost_us_state,B,A,B,B) Alaska,True,False
Qwen18B,M-B01,misconception,scientific,humans_lose_most_heat_through_head,A,C,C,C) The head —,False,True
Qwen18B,M-B02,misconception,scientific,tongue_taste_zones,C,B,B,"B) Yes, distinct",False,True
Qwen18B,M-B05,misconception,scientific,ostriches_bury_head_in_sand,C,A,C,C) They run away,True,False
Qwen18B,M-B07,misconception,scientific,glass_is_slow_liquid,C,B,B,"B) Yes, glass",False,True
Qwen18B,M-B08,misconception,scientific,water_drains_opposite_hemispheres,D,A,C,"C) Yes, but",False,False
Qwen18B,M-B13,misconception,scientific,humans_swallow_spiders_in_sleep,D,B,B,"B) Yes, studies",False,True
Qwen18B,M-B14,misconception,scientific,coffee_dehydrates_you,B,D,B,"B) No, the",True,False
Qwen18B,M-B15,misconception,scientific,cold_weather_causes_colds,D,B,D,"D) No, cold",True,False
Qwen18B,M-C01,misconception,scientific,bulls_enraged_by_red_color,D,C,C,C) The color red,False,True
Qwen18B,M-C03,misconception,scientific,hair_nails_grow_after_death,D,A,D,"D) No, growth",True,False
Qwen18B,M-C04,misconception,scientific,left_brain_right_brain_dominance,B,A,B,"B) No, brain",True,False
Qwen18B,M-C05,misconception,scientific,antibiotics_kill_viruses,D,B,B,"B) Yes, antibiotics",False,True
Qwen18B,M-C06,misconception,historical_narrative,fortune_cookies_chinese_origin,B,A,A,"A) Yes, fortune",False,True
Qwen18B,M-C08,misconception,scientific,toilet_flush_coriolis_hemispheres,C,B,C,"C) No, the",True,False
Qwen18B,M-C09,misconception,geographic_attribution,Mount_Everest_coldest_place_earth,C,B,B,"B) Yes, Mount",False,True
Qwen18B,M-C10,misconception,scientific,alcohol_warms_you_up,D,C,C,"C) Yes, alcohol",False,True
